Id,Category
0,2
1,3
2,1
3,3
4,2
5,1
6,3
7,1
8,2
9,3
10,2
11,2
12,4
13,2
14,4
15,1
16,2
17,2
18,2
19,3
20,1
21,2
22,2
23,2
24,3
25,2
26,2
27,1
28,2
29,1
30,1
31,3
32,1
33,1
34,1
35,2
36,3
37,2
38,1
39,3
40,1
41,2
42,2
43,2
44,4
45,3
46,1
47,1
48,1
49,1
50,2
51,2
52,1
53,4
54,2
55,1
56,1
57,2
58,2
59,4
60,2
61,2
62,1
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,3
71,1
72,1
73,1
74,1
75,1
76,1
77,2
78,1
79,2
80,2
81,2
82,2
83,1
84,2
85,3
86,1
87,1
88,3
89,1
90,2
91,2
92,1
93,1
94,2
95,1
96,2
97,1
98,1
99,4
100,1
101,2
102,2
103,4
104,2
105,1
106,1
107,1
108,1
109,4
110,1
111,1
112,1
113,2
114,2
115,3
116,1
117,2
118,1
119,1
120,3
121,1
122,1
123,1
124,2
125,1
126,2
127,1
128,1
129,1
130,1
131,3
132,2
133,2
134,1
135,2
136,3
137,2
138,2
139,3
140,2
141,1
142,1
143,1
144,1
145,2
146,1
147,2
148,1
149,3
150,1
151,1
152,1
153,1
154,4
155,1
156,4
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,3
165,2
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,2
176,1
177,4
178,2
179,1
180,1
181,1
182,2
183,3
184,1
185,2
186,1
187,1
188,1
189,2
190,1
191,1
192,1
193,1
194,3
195,2
196,1
197,2
198,1
199,2
200,3
201,3
202,2
203,2
204,2
205,1
206,1
207,2
208,3
209,3
210,2
211,1
212,2
213,3
214,2
215,1
216,1
217,2
218,1
219,2
220,1
221,1
222,2
223,3
224,2
225,2
226,1
227,2
228,1
229,3
230,1
231,1
232,1
233,2
234,2
235,2
236,2
237,1
238,1
239,3
240,2
241,1
242,1
243,2
244,1
245,1
246,3
247,2
248,2
249,4
250,1
251,2
252,1
253,1
254,4
255,1
256,3
257,2
258,1
259,2
260,2
261,4
262,1
263,2
264,1
265,2
266,2
267,2
268,1
269,1
270,1
271,1
272,2
273,2
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,1
283,1
284,2
285,2
286,2
287,2
288,1
289,1
290,1
291,4
292,1
293,2
294,2
295,1
296,1
297,1
298,1
299,1
300,2
301,2
302,3
303,0
304,1
305,2
306,1
307,4
308,2
309,2
310,3
311,1
312,3
313,1
314,2
315,2
316,1
317,2
318,2
319,1
320,1
321,2
322,2
323,1
324,1
325,3
326,2
327,1
328,3
329,1
330,1
331,1
332,2
333,1
334,1
335,1
336,3
337,2
338,1
339,2
340,1
341,2
342,2
343,1
344,1
345,3
346,1
347,2
348,1
349,1
350,1
351,2
352,1
353,0
354,4
355,0
356,2
357,1
358,1
359,2
360,2
361,2
362,3
363,2
364,2
365,2
366,1
367,2
368,0
369,1
370,2
371,4
372,1
373,2
374,1
375,2
376,2
377,2
378,1
379,1
380,3
381,2
382,1
383,1
384,1
385,2
386,1
387,4
388,1
389,1
390,1
391,1
392,3
393,1
394,2
395,1
396,1
397,1
398,1
399,3
400,3
401,4
402,1
403,2
404,2
405,2
406,4
407,3
408,2
409,1
410,1
411,1
412,1
413,2
414,1
415,1
416,2
417,2
418,1
419,4
420,2
421,1
422,1
423,1
424,1
425,1
426,1
427,2
428,3
429,1
430,1
431,3
432,1
433,1
434,2
435,1
436,1
437,3
438,4
439,1
440,1
441,1
442,3
443,2
444,1
445,3
446,2
447,1
448,2
449,3
450,2
451,2
452,2
453,2
454,2
455,1
456,1
457,4
458,1
459,2
460,1
461,2
462,1
463,1
464,2
465,0
466,1
467,1
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,2
476,2
477,1
478,2
479,2
480,1
481,1
482,2
483,2
484,2
485,4
486,1
487,2
488,4
489,1
490,1
491,1
492,4
493,2
494,1
495,3
496,1
497,2
498,1
499,1
500,1
501,1
502,1
503,3
504,2
505,1
506,3
507,1
508,0
509,3
510,2
511,1
512,1
513,1
514,1
515,3
516,2
517,1
518,2
519,3
520,1
521,1
522,1
523,4
524,1
525,2
526,2
527,1
528,1
529,2
530,1
531,1
532,1
533,1
534,1
535,2
536,2
537,1
538,3
539,1
540,3
541,1
542,1
543,2
544,1
545,2
546,2
547,1
548,2
549,1
550,4
551,4
552,3
553,1
554,2
555,1
556,1
557,2
558,1
559,1
560,2
561,2
562,2
563,1
564,4
565,2
566,1
567,1
568,3
569,3
570,2
571,1
572,1
573,2
574,1
575,2
576,2
577,4
578,1
579,1
580,1
581,1
582,1
